Name,Datum,Spieldauer,Schwierigkeitsgrad,Typ,Altersempfehlung,Glücksfaktor,Rating
Die Rückkehr der Kartoffelkönigin,2025-06-09,mittel,1,,10+,sehr hoch,5
Patchwork,2023-11-23,mittel,1,Familie,6+,gering,3
Pixhagen: Das Spiel,2025-03-07,mittel,3,Strategie,16+,sehr hoch,3
Nemesis: Lockdown,2022-09-04,kurz,5,Kooperativ,6+,sehr hoch,5
Cascadia,2025-04-04,kurz,2,Familie,10+,mittel,2
Agricola,2025-05-08,lang,2,Strategie,12+,kein Glück,4
Calico,2024-11-19,kurz,1,Familie,10+,sehr hoch,2
Geisterpost,2024-10-16,mittel,1,Familie,6+,gering,5
Parks,2024-03-19,mittel,2,Familie,10+,hoch,5
Turbokekse,2025-05-24,kurz,1,Kinder,6+,mittel,4
Mindbug,2023-02-16,kurz,1,,16+,gering,5
Kartonopolis,2024-11-23,kurz,3,Strategie,12+,sehr hoch,1
Meister der Matten,2024-09-29,lang,4,Strategie,12+,hoch,5
Parks,2024-06-01,kurz,3,Familie,6+,hoch,2
Dixit,2024-10-31,mittel,3,Familie,6+,mittel,5
Ziegenroulette,2024-12-07,lang,2,Kinder,6+,gering,4
The Mind,2025-05-12,mittel,3,Party,12+,kein Glück,5
Quacksalber von Quedlinburg,2024-01-07,lang,3,Strategie,12+,mittel,2
Nebelschach,2023-03-07,lang,2,Strategie,16+,gering,2
Heat: Pedal to the Metal,2024-01-13,mittel,1,Familie,10+,sehr hoch,5
Codenames,2025-05-19,mittel,2,Party,6+,kein Glück,4
Cascadia,2021-05-08,mittel,1,Familie,6+,mittel,4
Obsthain,2024-02-25,mittel,1,Kinder,6+,mittel,4
Honigkrieg,2024-03-14,lang,2,Familie,6+,gering,4
Splendor,2025-05-04,lang,2,Familie,10+,kein Glück,1
Tollhaus Taktik,2022-09-05,mittel,2,Party,12+,mittel,3
Alhambra,2025-01-12,mittel,1,Familie,6+,gering,3
Pizzadiplomaten,2023-11-20,lang,4,Party,10+,gering,4
Camel Up,2025-03-12,kurz,2,Familie,10+,gering,2
Keksdiplomatie,2022-07-01,kurz,2,Party,12+,kein Glück,2
Ticket to Ride: Europe,2025-03-25,kurz,2,Familie,10+,hoch,3
Wingspan Asia,2024-03-16,mittel,1,Familie,6+,sehr hoch,3
Railroad Ink,2021-11-01,lang,2,Familie,10+,gering,4
Res Arcana,2023-11-23,kurz,1,Strategie,12+,kein Glück,4
The Castles of Burgundy,2024-05-29,kurz,4,Strategie,12+,kein Glück,4
Burgenschlacht 3000,2024-11-14,k,3,Strategie,16+,kein Glück,4
Project L,2024-11-07,kurz,3,Strategie,12+,mittel,3
Turbokekse,2024-11-30,mittel,2,Kinder,6+,kein Glück,3
Biber & Barrikaden,2024-08-27,mittel,2,Kinder,6+,hoch,2
Flügelschlag,2024-01-11,lang,1,Familie,10+,mittel,4
The Mind,2023-03-04,mittel,2,Party,10+,kein Glück,4
Pixhagen: Das Spiel,2024-03-12,lang,1,Strategie,12+,sehr hoch,3
Kemet,2024-05-22,mittel,4,Strategie,12+,hoch,3
Pizzadiplomaten,2024-10-10,kurz,2,Party,12+,kein Glück,4
Stadt der flüsternden Uhren,2023-02-06,kurz,4,Strategie,16+,gering,1
Insel der Irrlichter,2024-09-19,mittel,5,Kooperativ,16+,sehr hoch,4
Flügelschlag,2024-04-26,mittel,2,Familie,10+,sehr hoch,3
Draftosaurus,2023-02-18,kurz,2,Familie,6+,gering,3
Cartographers,2022-08-28,lang,3,Strategie,12+,hoch,4
Der Kristallpakt,2022-11-16,mittel,4,Kooperativ,6+,mittel,3
Keksdiplomatie,2024-10-23,lang,4,Party,6+,kein Glück,4
Spirit Island,2025-07-26,lang,2,Kooperativ,16+,mittel,5
Wingspan Asia,2022-02-15,lang,1,Familie,6+,mittel,4
Robohof,2022-08-12,mittel,3,Familie,6+,kein Glück,4
Pizzadiplomaten,2023-02-28,lang,4,Party,16+,gering,5
Pixhagen: Das Spiel,2023-06-16,kurz,4,Strategie,12+,hoch,2
Living Forest,2023-06-07,lang,5,Strategie,16+,sehr hoch,2
Insel der Irrlichter,2023-04-09,mittel,3,Kooperativ,16+,mittel,3
Gloomhaven,2021-06-12,lang,3,Kooperativ,6+,mittel,5
Sleeping Gods,2023-12-17,lang,2,Kooperativ,12+,kein Glück,2
Gezeitenkinder,2021-10-27,lang,2,Kooperativ,10+,hoch,4
Pixhagen: Das Spiel,2024-09-04,kurz,4,Strategie,16+,gering,4
Ziegenroulette,2025-06-14,mittel,2,Kinder,6+,mittel,2
Keksdiplomatie,2025-04-13,kurz,2,Party,16+,kein Glück,3
Nebelschach,2025-06-08,lang,2,Strategie,16+,mittel,3
Everdell,2025-07-21,kurz,3,Strategie,16+,mittel,4
Insel der Irrlichter,2022-02-01,lang,2,Kooperativ,6+,hoch,4
Arche Nova,2024-06-15,mittel,2,Strategie,12+,mittel,4
Arche Nova,2025-02-07,kurz,2,Strategie,16+,gering,3
Die Crew,2023-07-05,mittel,1,Kooperativ,16+,gering,2
Flauschkrieg,2024-06-20,kurz,2,Party,10+,sehr hoch,3
Project L,2024-11-29,lang,5,Strategie,16+,hoch,5
Codenames,2025-04-30,lang,3,Party,12+,sehr hoch,5
Tiny Towns,2021-03-14,kurz,1,Familie,6+,sehr hoch,4
Res Arcana,2025-04-15,kurz,2,Strategie,16+,kein Glück,3
Kingdomino,2024-08-25,mittel,3,Familie,6+,mittel,5
Keksdiplomatie,2024-05-20,l,4,Party,12+,kein Glück,3
Dominion,2023-01-22,mittel,1,Strategie,12+,mittel,5
Pixhagen: Das Spiel,2024-04-01,mittel,1,Strategie,16+,hoch,4
Meadow,2024-03-02,kurz,3,Familie,10+,gering,2
The Mind,2023-07-20,mittel,4,Party,10+,hoch,4
Pandemic,2024-06-26,lang,5,Kooperativ,12+,sehr hoch,2
Hadara,2022-11-12,mittel,4,Strategie,12+,hoch,4
Funkenschwinge,2024-04-30,lang,4,Strategie,16+,kein Glück,2
Burgenschlacht 3000,2024-06-21,mittel,2,Strategie,16+,hoch,4
Insel der Irrlichter,2025-06-18,lang,2,Kooperativ,6+,kein Glück,4
Gloomhaven,2023-04-12,kurz,4,Kooperativ,16+,kein Glück,2
Patchwork,2023-03-18,kurz,1,Familie,6+,gering,3
Quacksalber von Quedlinburg,2024-01-11,kurz,4,Strategie,16+,gering,4
Hinter dem Wasserfall,2024-06-17,lang,1,Kooperativ,6+,hoch,3
Ziegenroulette,2025-07-15,kurz,1,Kinder,6+,mittel,5
Honigkrieg,2023-03-07,kurz,2,Familie,10+,mittel,4
Planet Würfelstein,2024-10-04,kurz,5,Strategie,12+,kein Glück,5
Honigkrieg,2024-01-15,mittel,1,Familie,10+,hoch,5
The Mind,2023-04-29,lang,3,Party,10+,hoch,4
Kaktuskarneval,2022-07-09,mittel,4,Party,10+,gering,4
Mindbug,2025-07-14,lang,2,Strategie,16+,mittel,3
Turbokekse,2022-04-12,m,1,Kinder,6+,mittel,4
Burgenschlacht 3000,2024-04-13,kurz,2,Strategie,12+,kein Glück,4
Just One,2025-03-11,mittel,3,Party,16+,gering,4
Turbokekse,2025-06-15,mittel,2,Kinder,6+,mittel,3
Parks,2025-04-28,kurz,1,Familie,6+,hoch,2
Pizzadiplomaten,2025-02-18,mittel,2,Party,12+,mittel,4
7 Wonders,2022-11-11,lang,5,Strategie,12+,mittel,3
Funkenschwinge,2024-12-12,mittel,4,Strategie,12+,gering,1
Pizzadiplomaten,2025-04-19,lang,3,Party,6+,sehr hoch,3
Die vierte Fabel,2023-08-28,mittel,4,Kooperativ,6+,mittel,5
Pixhagen: Das Spiel,2023-07-03,lang,3,Strategie,12+,hoch,3
Die Rückkehr der Kartoffelkönigin,2025-05-04,mittel,1,Familie,10+,sehr hoch,4
Gezeitenkinder,2025-01-29,kurz,5,Kooperativ,12+,mittel,5
Mindbug,2025-02-23,m,4,Strategie,16+,gering,5
Mysterium,2025-02-14,kurz,3,Kooperativ,12+,kein Glück,3
The Castles of Burgundy,2024-07-26,lang,3,Strategie,12+,sehr hoch,2
Flügelschlag,2024-08-13,mittel,1,Familie,6+,hoch,2
Living Forest,2025-04-21,lang,2,Strategie,16+,sehr hoch,5
Pandemic,2025-06-29,kurz,5,Kooperativ,6+,hoch,3
Tollhaus Taktik,2024-01-16,lang,2,Party,10+,gering,4
Pixhagen: Das Spiel,2024-10-30,l,3,Strategie,12+,sehr hoch,2
Die Crew,2024-03-19,mittel,1,Kooperativ,10+,mittel,4
Mysterium,2022-04-15,lang,5,Kooperativ,6+,gering,4
Dune: Imperium,2024-03-23,mittel,1,Strategie,12+,gering,5
Project L,2023-10-16,m,3,Strategie,12+,mittel,2
Spirit Island,2024-07-16,kurz,4,Kooperativ,6+,hoch,4
Die Drachen von Morag,2024-01-11,mittel,1,Kooperativ,10+,hoch,4
Ritter der Regenzeit,2024-02-15,l,1,Familie,10+,kein Glück,3
Wurzelwerk,2024-06-05,mittel,5,Strategie,16+,hoch,2
Pandemic,2023-08-13,lang,4,Kooperativ,6+,sehr hoch,4
Burgenschlacht 3000,2023-06-06,kurz,4,Strategie,16+,kein Glück,4
Flügelschlag,2024-02-06,kurz,1,Familie,10+,hoch,2
Oath,2023-07-30,lang,4,Strategie,12+,mittel,4
Res Arcana,2022-05-23,kurz,5,Strategie,16+,gering,4
Keksdiplomatie,2025-04-16,mittel,4,Party,6+,mittel,5
Agricola,2023-09-05,lang,4,Strategie,12+,sehr hoch,2
Kemet,2022-04-18,mittel,4,Strategie,12+,hoch,5
König Knatterbart,2025-04-24,lang,1,Kinder,6+,hoch,5
Lost Ruins of Arnak,2023-12-03,mittel,3,Strategie,12+,kein Glück,3
Tapestry,2024-09-18,kurz,4,Strategie,12+,gering,4
Keksdiplomatie,2022-04-19,mittel,4,Party,6+,kein Glück,4
Pixhagen: Das Spiel,2024-01-03,kurz,1,Strategie,16+,gering,4
Calico,2024-07-30,lang,3,Familie,6+,hoch,4
The Castles of Burgundy,2022-12-16,mittel,4,Strategie,16+,kein Glück,5
Love Letter,2023-09-18,kurz,3,Party,10+,hoch,3
Dune: Imperium,2024-05-17,lang,3,Strategie,12+,hoch,4
Cartographers,2025-06-15,kurz,4,Strategie,16+,gering,3
Everdell,2023-09-26,lang,4,Strategie,16+,sehr hoch,2
Tunnel von Tokran,2021-12-09,kurz,1,Strategie,12+,kein Glück,4
Lachlabor,2025-05-07,lang,1,Kinder,6+,mittel,1
König Knatterbart,2024-12-27,kurz,1,Kinder,6+,sehr hoch,2
Quacksalber von Quedlinburg,2022-10-22,kurz,4,Strategie,16+,mittel,4
Kemet,2023-01-12,lang,1,Strategie,16+,mittel,4
Great Western Trail,2023-05-07,lang,1,Strategie,12+,mittel,4
Just One,2024-08-03,lang,2,Party,12+,gering,4
Pixhagen: Das Spiel,2025-05-10,kurz,4,Strategie,12+,gering,4
Biber & Barrikaden,2021-10-29,kurz,2,Kinder,6+,kein Glück,4
Terraforming Mars,2023-10-28,mittel,5,Strategie,12+,mittel,3
Clank!,2023-05-06,mittel,1,Strategie,16+,mittel,4
Planet Unknown,2025-04-20,mittel,3,Strategie,16+,hoch,4
Carcassonne,2021-01-14,kurz,3,Familie,10+,sehr hoch,4
Patchwork,2022-10-30,kurz,1,Familie,6+,kein Glück,5
Wächter von Windhain,2024-07-07,lang,5,Strategie,12+,mittel,4
Agricola,2024-05-03,lang,4,Strategie,12+,gering,2
Quacksalber von Quedlinburg,2023-05-18,mittel,4,Strategie,12+,gering,5
Ritter der Regenzeit,2025-07-01,mittel,3,Familie,10+,gering,2
Mindbug,2025-03-09,kurz,4,Strategie,16+,mittel,3
Carcassonne,2022-08-24,mittel,2,Familie,6+,kein Glück,2
Tunnelritter,2023-10-10,kurz,2,Strategie,16+,kein Glück,4
Agricola,2023-04-12,mittel,1,Strategie,16+,mittel,4
Cascadia,2024-10-22,kurz,2,Familie,6+,kein Glück,2
Die vierte Fabel,2022-05-24,lang,1,Kooperativ,16+,hoch,4
Nemesis: Lockdown,2024-01-21,lang,3,Kooperativ,16+,mittel,3
Sleeping Gods,2022-10-06,mittel,3,Kooperativ,10+,sehr hoch,2
Isle of Skye,2025-04-11,kurz,2,Strategie,12+,mittel,5
Everdell,2025-05-02,lang,2,Strategie,12+,hoch,4
Kaktuskarneval,2021-11-04,lang,3,Party,6+,sehr hoch,3
Catan,2024-02-27,lang,1,Strategie,12+,hoch,3
Everdell,2025-02-20,lang,3,Strategie,12+,sehr hoch,4
Wächter von Windhain,2024-08-13,kurz,5,Strategie,12+,hoch,2
Lichtfänger,2025-04-08,mittel,5,Kooperativ,16+,gering,4
Die Rückkehr der Kartoffelkönigin,2025-06-10,kurz,3,Familie,10+,sehr hoch,4
Pixhagen: Das Spiel,2024-12-24,lang,5,Strategie,12+,mittel,4
Draftosaurus,2025-02-26,lang,1,Familie,6+,sehr hoch,2
Pilzpiraten,2021-01-17,mittel,2,Kinder,6+,kein Glück,3
König Knatterbart,2025-04-13,lang,1,Kinder,6+,kein Glück,3
Wächter von Windhain,2025-07-18,mittel,1,Strategie,12+,kein Glück,3
Oath,2025-04-17,mittel,3,Strategie,16+,sehr hoch,3
Dimension Delta,2024-01-31,mittel,3,Kooperativ,6+,hoch,3
Pixhagen: Das Spiel,2024-07-18,k,3,Strategie,12+,hoch,3
Zauberkessel & Zimt,2025-05-17,mittel,1,Familie,10+,sehr hoch,4
Die Rückkehr der Kartoffelkönigin,2023-04-20,l,1,Familie,6+,gering,5
Pixhagen: Das Spiel,2025-02-02,mittel,4,Strategie,12+,sehr hoch,3
Kemet,2025-05-11,lang,5,Strategie,16+,hoch,1
Die Rückkehr der Kartoffelkönigin,2023-04-27,mittel,3,Familie,6+,hoch,2
Quacksalber von Quedlinburg,2024-05-20,kurz,3,Strategie,12+,hoch,1
Cartographers,2024-10-04,mittel,1,Strategie,12+,mittel,3
Camel Up,2024-12-30,lang,1,Familie,6+,kein Glück,3
Vampirvillen & Vanilleeis,2025-07-14,lang,2,Party,10+,sehr hoch,1
Patchwork,2022-03-05,lang,3,Familie,6+,hoch,5
7 Wonders,2024-10-02,mittel,3,Strategie,12+,sehr hoch,4
Red Cathedral,2022-01-13,kurz,5,Strategie,12+,sehr hoch,2
Broom Service,2025-05-21,mittel,1,Familie,10+,kein Glück,4
Wurzelwerk,2024-11-27,mittel,5,Strategie,12+,hoch,4
Pixhagen: Das Spiel,2023-12-06,kurz,3,Strategie,16+,kein Glück,4
Res Arcana,2024-08-02,mittel,3,Strategie,16+,sehr hoch,5
Res Arcana,2025-07-25,lang,2,Strategie,16+,sehr hoch,3
Zauberkessel & Zimt,2025-06-16,lang,3,Familie,6+,mittel,2
Keksdiplomatie,2025-02-27,lang,4,Party,10+,gering,5
Kemet,2025-03-14,mittel,1,Strategie,12+,kein Glück,5
Cascadia,2024-04-17,lang,1,Familie,6+,hoch,3
Wingspan Asia,2025-05-13,kurz,3,Familie,6+,gering,4
Tunnelritter,2025-07-06,kurz,2,Strategie,12+,mittel,4
Pandemic,2022-10-14,mittel,3,Kooperativ,12+,sehr hoch,3
Love Letter,2024-08-15,kurz,3,Party,6+,mittel,4
Pilzpiraten,2025-07-22,mittel,1,Kinder,6+,hoch,3
Draftosaurus,2025-02-13,lang,3,Familie,6+,gering,2
Planet Unknown,2022-08-10,lang,1,Strategie,16+,sehr hoch,5
Monsterbüro,2025-06-07,mittel,4,Party,16+,mittel,2
Robohof,2022-02-12,mittel,1,Familie,10+,kein Glück,4
Dune: Imperium,2024-03-28,mittel,3,Strategie,12+,kein Glück,4
Dixit,2021-12-25,lang,2,Familie,6+,gering,5
König Knatterbart,2023-07-14,mittel,2,Kinder,6+,kein Glück,2
Wingspan Asia,2023-04-17,mittel,3,Familie,6+,gering,4
Wingspan Asia,2024-09-04,mittel,1,Familie,6+,hoch,1
Everdell,2023-11-04,l,5,Strategie,16+,mittel,4
Cascadia,2023-05-01,kurz,1,Familie,6+,mittel,2
Wolkenschieber,2024-10-05,kurz,3,Familie,6+,mittel,5
Spirit Island,2023-11-09,lang,3,Kooperativ,16+,mittel,4
Oath,2023-01-05,mittel,5,Strategie,12+,sehr hoch,2
Pixhagen: Das Spiel,2025-05-08,mittel,2,Strategie,16+,hoch,4
Pixhagen: Das Spiel,2024-12-12,mittel,4,Strategie,12+,sehr hoch,5
Kaktuskarneval,2025-05-05,kurz,2,Party,12+,gering,3
Anno Domini,2024-10-20,lang,1,Party,16+,gering,3
Wimmelwald,2024-07-25,mittel,2,Familie,6+,gering,4
Everdell,2025-07-12,lang,4,Strategie,16+,mittel,4
Puerto Rico,2025-06-10,kurz,5,Strategie,16+,gering,2
Calico,2024-11-10,kurz,1,Familie,10+,mittel,4
Mysterium,2025-06-02,lang,2,Kooperativ,10+,gering,3
Ritter der Regenzeit,2025-07-01,mittel,3,Familie,6+,mittel,4
Die Drachen von Morag,2024-08-26,kurz,3,Kooperativ,16+,mittel,3
Arche Nova,2025-05-24,mittel,3,Strategie,12+,gering,3
Kemet,2024-05-26,lang,4,Strategie,16+,kein Glück,2
Tunnelritter,2024-11-20,kurz,3,Strategie,16+,sehr hoch,2
Zug um Zug,2025-07-06,lang,1,Familie,6+,mittel,4
Ziegenroulette,2023-06-20,mittel,2,Kinder,6+,kein Glück,4
Ritter der Regenzeit,2025-01-02,mittel,1,Familie,6+,mittel,3
Lost Ruins of Arnak,2025-05-12,kurz,1,Strategie,16+,hoch,3
Alhambra,2023-05-27,kurz,3,Familie,10+,hoch,1
Pizzadiplomaten,2024-05-22,mittel,3,Party,6+,hoch,4
Viticulture,2023-06-19,mittel,3,Strategie,12+,kein Glück,3
Wimmelwald,2022-01-01,mittel,3,Familie,10+,gering,3
Catan,2025-03-26,mittel,4,Strategie,16+,hoch,4
Res Arcana,2025-03-28,kurz,2,Strategie,16+,kein Glück,2
Die Rückkehr der Kartoffelkönigin,2022-08-17,mittel,3,Familie,10+,mittel,2
Heat: Pedal to the Metal,2023-10-09,mittel,1,Familie,6+,hoch,4
Planet Unknown,2022-11-24,kurz,3,Strategie,12+,hoch,3
Cascadia,2023-11-25,k,1,Familie,6+,hoch,4
Patchwork,2024-07-27,mittel,3,Familie,6+,gering,3
Die Ernte von Umbra,2024-10-05,mittel,1,Strategie,16+,hoch,4
Pixhagen: Das Spiel,2025-07-20,mittel,1,Strategie,12+,gering,4
Meadow,2025-02-20,lang,3,Familie,10+,mittel,4
Tiny Towns,2025-05-12,mittel,3,Familie,10+,sehr hoch,4
Draftosaurus,2023-08-15,mittel,3,Familie,10+,mittel,4
Keksdiplomatie,2023-11-29,kurz,1,Party,12+,mittel,4
T.I.M.E Stories,2025-02-04,kurz,1,Kooperativ,12+,mittel,3
Splendor,2025-06-03,kurz,2,Familie,6+,gering,4
Hinter dem Wasserfall,2024-07-30,lang,1,Kooperativ,6+,kein Glück,2
Res Arcana,2025-05-06,mittel,5,Strategie,12+,mittel,4
Geisterpost,2022-08-20,lang,1,Familie,6+,kein Glück,4
T.I.M.E Stories,2024-10-28,kurz,1,Kooperativ,6+,hoch,4
Lichtfänger,2023-11-23,kurz,5,Kooperativ,10+,mittel,3
Magnetmönche,2023-11-17,kurz,1,Kooperativ,6+,gering,1
Ziegenroulette,2025-02-07,kurz,2,Kinder,6+,kein Glück,3
Wurzelwerk,2024-10-07,mittel,5,Strategie,16+,kein Glück,4
Res Arcana,2024-01-13,lang,5,Strategie,16+,kein Glück,3
The Castles of Burgundy,2025-07-06,mittel,5,Strategie,12+,sehr hoch,3
Nebelschach,2024-01-27,mittel,5,Strategie,16+,hoch,4
T.I.M.E Stories,2025-07-26,kurz,2,Kooperativ,6+,mittel,3
Tunnelritter,2024-06-30,mittel,2,Strategie,12+,sehr hoch,2
7 Wonders,2024-07-21,kurz,3,Strategie,12+,gering,4
Just One,2022-08-30,mittel,3,Party,16+,kein Glück,1
T.I.M.E Stories,2023-11-20,mittel,4,Kooperativ,10+,sehr hoch,2
König Knatterbart,2024-05-20,lang,1,Kinder,6+,mittel,4
Pixhagen: Das Spiel,2025-02-05,mittel,2,Strategie,16+,hoch,4
Burgenschlacht 3000,2022-03-02,mittel,1,Strategie,16+,hoch,1
Die Farben von Fjorin,2025-03-04,lang,5,Strategie,16+,sehr hoch,3
Chronicles of Crime,2024-03-08,kurz,4,Kooperativ,16+,hoch,2
The Mind,2022-10-30,lang,1,Party,12+,sehr hoch,3
Mindbug,2025-07-08,lang,3,Strategie,12+,kein Glück,5
Exit: Das Spiel,2023-04-24,mittel,1,Kooperativ,10+,kein Glück,4
Cascadia,2025-06-07,lang,2,Familie,10+,kein Glück,4
Karak,2025-07-03,lang,2,Kinder,6+,gering,5
Project L,2025-01-18,mittel,5,Strategie,12+,kein Glück,3
Die Rückkehr der Kartoffelkönigin,2025-07-29,kurz,1,Familie,10+,mittel,5
T.I.M.E Stories,2025-04-29,l,4,Kooperativ,12+,hoch,3
Pixhagen: Das Spiel,2024-07-14,lang,4,Strategie,12+,sehr hoch,4
Die Farben von Fjorin,2023-11-23,lang,5,Strategie,16+,mittel,4
Pixhagen: Das Spiel,2025-04-25,kurz,1,Strategie,12+,hoch,3
Pixhagen: Das Spiel,2024-07-08,mittel,1,Strategie,16+,kein Glück,5
Clank!,2022-08-09,mittel,5,Strategie,12+,hoch,4
Mindbug,2024-07-01,kurz,4,Strategie,16+,kein Glück,4
Unlock!,2024-11-11,kurz,3,Kooperativ,6+,mittel,2
Lachlabor,2022-07-21,lang,1,Kinder,6+,sehr hoch,2
Pixhagen: Das Spiel,2022-04-08,lang,3,Strategie,12+,gering,2
Root,2025-02-18,mittel,4,Strategie,16+,mittel,2
Kartonopolis,2022-03-22,lang,4,Strategie,12+,hoch,5
Pandemic,2022-09-03,kurz,5,Kooperativ,16+,hoch,3
Die vierte Fabel,2024-09-07,kurz,3,Kooperativ,12+,sehr hoch,4
Everdell,2025-06-13,lang,3,Strategie,12+,sehr hoch,3
Tapestry,2024-04-08,lang,2,Strategie,12+,hoch,2
Pixhagen: Das Spiel,2025-01-01,lang,4,Strategie,16+,mittel,3
Planet Würfelstein,2022-11-13,lang,5,Strategie,16+,hoch,3
Tanz der Tomaten,2025-05-20,mittel,1,Kinder,6+,mittel,2
König Knatterbart,2025-02-20,kurz,2,Kinder,6+,kein Glück,3
Dixit,2025-05-31,mittel,3,Familie,6+,gering,3
Wimmelwald,2024-08-03,mittel,1,Familie,10+,mittel,5
Res Arcana,2024-01-11,kurz,3,Strategie,12+,sehr hoch,2
Meadow,2025-05-01,kurz,1,Familie,10+,gering,4
Res Arcana,2022-02-09,l,4,Strategie,12+,gering,3
Project L,2025-02-05,mittel,4,Strategie,12+,mittel,5
Burgenschlacht 3000,2023-02-09,mittel,5,Strategie,16+,mittel,2
Spirit Island,2023-09-08,mittel,1,Kooperativ,16+,kein Glück,4
Die vierte Fabel,2023-07-26,mittel,5,Kooperativ,12+,mittel,4
Mindbug,2023-07-10,lang,1,Strategie,12+,gering,3
Die Farben von Fjorin,2025-05-15,lang,2,Strategie,16+,gering,4
Patchwork,2022-03-11,lang,1,Familie,10+,kein Glück,4
Railroad Ink,2024-11-16,mittel,2,Familie,6+,hoch,5
Die Farben von Fjorin,2025-04-21,kurz,5,Strategie,16+,sehr hoch,4
Karak,2023-02-22,k,1,Kinder,6+,sehr hoch,5
Tunnelritter,2025-04-25,lang,2,Strategie,16+,kein Glück,5
Hinter dem Wasserfall,2022-08-20,lang,3,Kooperativ,16+,sehr hoch,3
Quacksalber von Quedlinburg,2025-01-21,lang,5,Strategie,12+,gering,2
Wächter von Windhain,2023-09-11,lang,4,Strategie,12+,mittel,2
Funkenschwinge,2023-03-07,lang,1,Strategie,12+,gering,3
Die Drachen von Morag,2024-04-17,mittel,4,Kooperativ,16+,mittel,4
Lost Ruins of Arnak,2024-05-04,kurz,4,Strategie,16+,kein Glück,3
Tollhaus Taktik,2023-01-23,mittel,2,Party,16+,hoch,2
Keksdiplomatie,2025-06-04,l,3,Party,10+,kein Glück,5
Quacksalber von Quedlinburg,2023-12-07,mittel,3,Strategie,12+,sehr hoch,3
Agricola,2023-01-07,mittel,2,Strategie,12+,sehr hoch,4
Honigkrieg,2024-07-06,lang,3,Familie,6+,gering,4
Lichtfänger,2025-04-16,lang,2,Kooperativ,10+,mittel,3
Res Arcana,2025-06-17,kurz,1,Strategie,16+,sehr hoch,5
Wächter von Windhain,2024-08-29,kurz,2,Strategie,16+,kein Glück,2
The Mind,2023-06-14,lang,2,Party,16+,mittel,3
Root,2022-11-10,kurz,2,Strategie,12+,hoch,3
Root,2024-11-15,kurz,5,Strategie,16+,sehr hoch,3
The Mind,2023-10-31,lang,2,Party,10+,sehr hoch,4
Keksdiplomatie,2023-11-10,mittel,4,Party,10+,hoch,2
Railroad Ink,2024-04-16,lang,2,Familie,6+,mittel,3
Die Farben von Fjorin,2025-03-13,kurz,2,Strategie,16+,gering,1
Pixhagen: Das Spiel,2025-01-19,kurz,2,Strategie,16+,kein Glück,2
Die vierte Fabel,2024-03-30,mittel,2,Kooperativ,6+,kein Glück,2
Stadt der flüsternden Uhren,2025-04-12,kurz,3,Strategie,16+,hoch,1
Burgenschlacht 3000,2024-11-21,kurz,5,Strategie,16+,mittel,4
Pixhagen: Das Spiel,2021-06-21,mittel,2,Strategie,16+,sehr hoch,4
Ziegenroulette,2024-10-15,mittel,2,Kinder,6+,mittel,2
Honigkrieg,2022-12-26,kurz,2,Familie,10+,kein Glück,3
Agricola,2023-03-31,kurz,1,Strategie,16+,hoch,1
Planet Unknown,2024-10-08,kurz,2,Strategie,12+,hoch,3
Hadara,2025-06-28,kurz,4,Strategie,12+,sehr hoch,4
Wingspan Asia,2022-02-19,lang,1,Familie,6+,gering,4
Tunnelritter,2025-05-25,lang,4,Strategie,12+,kein Glück,4
Lichtfänger,2024-08-28,kurz,1,Kooperativ,16+,sehr hoch,4
Pixhagen: Das Spiel,2023-08-12,kurz,1,Strategie,16+,mittel,2
Heat: Pedal to the Metal,2025-04-22,lang,2,Familie,6+,hoch,3
Insel der Irrlichter,2025-03-31,lang,2,Kooperativ,12+,hoch,3
Project L,2022-06-15,mittel,3,Strategie,12+,hoch,4
Pilzpiraten,2022-09-02,mittel,2,Kinder,6+,kein Glück,4
Pilzpiraten,2023-07-21,lang,1,Kinder,6+,gering,4
Dominion,2023-12-23,m,1,Strategie,12+,sehr hoch,2
Res Arcana,2025-06-24,kurz,3,Strategie,16+,gering,2
Agricola,2024-06-10,lang,4,Strategie,12+,gering,2
Kemet,2022-12-07,lang,2,Strategie,12+,hoch,2
Die Crew,2023-08-06,lang,1,Kooperativ,12+,kein Glück,4
Die Drachen von Morag,2025-05-19,mittel,1,Kooperativ,6+,gering,5
Oath,2025-01-01,lang,2,Strategie,16+,gering,4
Pixhagen: Das Spiel,2025-02-02,mittel,4,Strategie,16+,mittel,3
Pixhagen: Das Spiel,2024-07-09,lang,3,Strategie,12+,hoch,3
Cartographers,2025-06-22,lang,5,Strategie,12+,gering,3
Planet Würfelstein,2025-05-23,mittel,4,Strategie,12+,sehr hoch,3
Die Farben von Fjorin,2024-12-27,kurz,1,Strategie,12+,hoch,2
Unlock!,2024-10-13,lang,3,Kooperativ,12+,sehr hoch,1
Cascadia,2023-12-28,kurz,1,Familie,6+,gering,5
The Mind,2024-09-30,mittel,2,Party,10+,hoch,2
Agricola,2024-09-27,lang,1,Strategie,16+,gering,4
Nebelschach,2025-06-08,kurz,3,Strategie,16+,hoch,4
Tollhaus Taktik,2021-01-09,lang,4,Party,16+,hoch,3
Hinter dem Wasserfall,2025-06-11,lang,3,Kooperativ,10+,kein Glück,5
Hadara,2024-06-28,kurz,4,Strategie,12+,hoch,5
Terraforming Mars,2024-10-20,lang,3,Strategie,16+,mittel,3
