FID,geom,id,title,description,addresslocality,streetaddress,postalcode,email,openinghours,license,telephone
MRN_Refill_4326_Point.89,POINT (8.483593682052378 49.52418309614257),3d47792547304358974ce8dc05fc407f,Stadtteilservice Nord,Der Stadtteilservice unterstützt in den Stadtteilen Waldhof - Gartenstadt - Luzenberg. Sandhofen und Vereine. Kirchengemeinden. Schulen und Kitas sowie sonstige gemeinnützige Einrichtungen und Einzelpersonen in ihrem bürgerschaftlichen Engagement.  Die Tätigkeiten sind vielfältig: Auf- und Umräumarbeiten Auf- und Abbau bei Schul- Stadtteil- und Vereins- oder Gemeindefesten Kehrarbeiten  Grünschnitt beseitigen auf nicht-öffentlichen Grünflächen und einiges mehr,Mannheim,Speckweg 6,68305,n.randle@gemeinschaftswerk-mannheim.de,,CC0-1.0,0621/ 71419839
MRN_Refill_4326_Point.90,POINT (8.228974346178106 49.11093339282597),c93d9290d0b14a64b1aa4ac338cc04c0,Müller Automobile e.K.,Schütze unsere Umwelt! ,Hatzenbühl,Im Gereut 35,76770,mueller-hatzenbuehl@t-online.de,Mo-Fr 08:00-18:00 Sa 09:00-13:00,CC0-1.0,07275/919491
MRN_Refill_4326_Point.91,POINT (8.463373933203227 49.49270335002463),0a4a8310587f4dcc850501080fbbdd0f,Stadtteilservice Innenstadt-Jungbusch,Er unterstützt in den Stadtteilen Innenstadt und Jungbusch Vereine. Kirchengemeinden. Schulen und Kitas sowie sonstige gemeinnützige Einrichtungen und Einzelpersonen in ihrem bürgerschaftlichen Engagement.,Mannheim,H7 8,68159,d.savasci@gemeinschaftswerk-mannheim.de,,CC0-1.0,0621 1229693
MRN_Refill_4326_Point.92,POINT (8.463373933203227 49.49270335002463),db209f3fc55b4c83a80ef2d0ce8f026b,Stadteilservice Innenstadt-Jungbusch,Der Stadtteilservice unterstützt in den Stadtteilen  Jungbusch Vereine. Kirchengemeinden. Schulen und Kitas sowie sonstige gemeinnützige Einrichtungen und Einzelpersonen in ihrem bürgerschaftlichen Engagement.  Die Tätigkeiten sind vielfältig: Auf- und Umräumarbeiten Auf- und Abbau bei Schul- Stadtteil- und Vereins- oder Gemeindefesten Kehrarbeiten  Grünschnitt beseitigen auf nicht-öffentlichen Grünflächen und einiges mehr  ,Mannheim ,H7 8,68159,d.savasci@gemeinschaftswerk-mannheim.de,,CC0-1.0,0621 1229693
MRN_Refill_4326_Point.93,POINT (8.461492112121308 49.483683081103344),8bd4eb79f2d54a5b9a9dec6a1360c053,Campus Shop Universität Mannheim,Der Campus Shop verkauft Fanartikel der Universität Mannheim und bietet für die Pausen den Studierenden Kaffee. Snacks und Kaltgetränke an. ,68161,Schloss Bismarckstr. 40,Mannheim,shop@service.uni-mannheim.de,,CC0-1.0,+49 621-181-1215
MRN_Refill_4326_Point.94,POINT (8.650400009309127 49.30589998108609),d050fad469fc44498254c0912f126c6f,lieber unverpackt Walldorf,Unverpackt Laden mit Bio-Lebensmitteln (Trockenprodukte. Molkereiprodukte. Obst & Gemüse). Drogerie- Hygiene- & Reinigungsprodukte sind im Sortiment. Eine Postfiliale ist im Laden integriert. HIS (Hilfe in Sicht) & Refill station,Walldorf,Sambugaweg 11,69190,info@lieber-unverpackt.de,Mo 14:00-18:00 Di-Fr 09:00-12:30;14:00-18:00 Sa 09:00-14:00,CC0-1.0,06227-6531093
MRN_Refill_4326_Point.95,POINT (8.530999966213013 49.329599979952725),36b24b09f80d42f2a7644ee6329bb15b,ET SolarPower GmbH,Photovoltaikhersteller ,Hockenheim,Neckarauer Straße 2,68766,katharina.feike@etsp.de,Mo-Fr 8:00-12:00;13:00-17:00,CC0-1.0,6205396910
MRN_Refill_4326_Point.96,POINT (8.383800000131037 49.38739999168897),82c9bbfec4d1426896f81fb12e4df215,Senioren-Residenz Schifferstadt GmbH ,Alten-und Pflegeheim,Schifferstadt,Hans-Purrmann-Straße 31,67105,info@stjohannes.incura.de,8:00-20:00,CC0-1.0,06235-4930-0
MRN_Refill_4326_Point.97,POINT (8.169599961568416 49.461300004954126),daff3df143534bb4a461d7db4a1225aa,Brunnen Apotheke ,Wir füllen Eure Trinkflaschen sehr gerne auf. Darüber hinaus beraten wir Euch rund um Eure Gesundheit.,Bad Dürkheim,Mannheimer Str. 16,67098,info@brunnen-apotheke-duew.de,Mo-Fr 8:00-18:30 Sa 8:30-12:30,CC0-1.0,63224620
MRN_Refill_4326_Point.98,POINT (8.573799975483585 49.384199990604166),9475db7427844af9a571eb0ed984eab3,Schwetzinger Zeitungsverlag GmbH & Co. KG,Im Kundenforum der Schwetzinger Zeitung sind Durstige eingeladen ihre Trinkwasserflasche mit Leitungswasser aufzufüllen.,Schwetzingen,Carl-Theodor-Straße 2 ,68723,kundenservice@schwetzinger-zeitung.de,Mo-Fr 8:00-12:00; 13:00-17:00,CC0-1.0,06202 / 205-205
MRN_Refill_4326_Point.99,POINT (8.361272378061559 49.62781740800842),9d205daa093549fda81aff0206f3216a,Frollein Elfriede,Öffnungszeiten Do 12:00-18:00 Fr 9:30-18:00 Sa 9:30-13:00,Worms,Kleine Wollgasse 7,67547,,,CC0-1.0,
MRN_Refill_4326_Point.100,POINT (8.36575476842269 49.6282608106864),91119b7f9ff1410581e10e179291bfec,e-motion ebike-welt Worms,Öffnungszeiten:  Mo;Di;Do;Fr 10:00-18:30 Sa 10:00-15:00,Worms,Hagenstraße 42,67547,,,CC0-1.0,
MRN_Refill_4326_Point.101,POINT (8.476599989680853 49.485900010674214),fb708e25f1794332833b9f34532873b5,Dorint Kongresshotel Mannheim,Refill-Station in City-Lage am Wasserturm. Das Team des City- und Tagungshotels bietet gerne die Auffüllung von Trinkwasser in eigene Flaschen an! Bitte meldet euch dafür an der Rezeption.,Mannheim,Friedrichsring 6,68161,info.mannheim@dorint.com,,CC0-1.0,0621-12510
MRN_Refill_4326_Point.102,POINT (8.435599994117208 49.47259998390106),3655a2e70b184f88828144c2a83cc069,Stadtverwaltung Ludwigshafen. Büro Sozialer Zusammenhalt  Dichterquartier,Stadtverwaltung Ludwigshafen Büro Sozialer Zusammenhalt Dichterquartier,Ludwigshafen,Georg-Herwegh-Straße 41,67061,Yvonne.Fetzer@ludwigshafen.de,Mo-Do 9:00-12:00 Do 14:00-16:00,CC0-1.0,496215044277
MRN_Refill_4326_Point.103,POINT (8.371199988001585 49.219599989810774),b0cad2c4e6434b4c8910c689e350e0d0,pit Reisebüro,Reisebüro  ,Germersheim,Sandstrasse 15,76726,,,CC0-1.0,
MRN_Refill_4326_Point.104,POINT (8.672299994468828 49.550999989524016),cae0906ba13841d4b0a622deb257fbdc,Unverpackt Laden,Unverpackt Laden,Weinheim,Hauptstraße 66,69469,info@unverpacktweinheim.de,,CC0-1.0,06201 - 8787805
MRN_Refill_4326_Point.105,POINT (8.486031223314829 49.4587799019454),14acb2117e074f02a74517edec10499d,Jugendtreff Neckarau,Jugendtreff Mo;Mi 14:00-18:00 Di;Do 14:00-20:00 Fr;So* Nach Aushang,Mannheim,Heinrich-Heine-Straße 2,68199,jugendtreff.neckarau@mannheim.de,,CC0-1.0,0621 8430389
MRN_Refill_4326_Point.106,POINT (8.675099969224584 49.404300003966455),d606cf26117941e29884dfebe0f32db5,Bahnhofsmission Heidelberg,Refill-Station & offene Anlaufstelle für alle Menschen am Bahnhof. Begegnungort. Aufenthalt. Gesprächsangebot. Fairer Kaffee. Hilfe in Notlagen und Weitervermittlung. Unterstützung für Reisende.,Heidelberg,Willy-Brandt-Platz 5,69115,heidelberg@bahnhofsmission.de,Mo-Fr 8:00-18:00  Sa-So 10:00-18:00,CC0-1.0,06221 23824
MRN_Refill_4326_Point.107,POINT (8.36590002680472 49.63640001585539),acf06b15f9b44393b21bddcdd6285772,AWO Haus der Generationen Remyerhof,AWO Seniorenzentrum mit angeschlossenem Kindergarten und Quaritersbüro* das mit  interkultureller Begegnung und Beratung für alle Menschen offen steht. *Gefördert von der Glücksspirale,Worms,Remeyerhofstraße 19,67547,isabel.neubauer@awo-rheinland.de,8:00-18:00,CC0-1.0,06241-408158
MRN_Refill_4326_Point.108,POINT (8.70350003647781 49.37479997955952),46b6bcc9920c4bef9722f6946d48d9ff,Refill-Station im Stadtteilbüro Boxberg,Das Stadtteilbüro Bergstation wird vom Internationaler Bund (IB) freien Träger für Jugend- Sozial- und Bildungsarbeit im Auftrag der Stadt Heidelberg ausgeführt.  Wir füllen gerne und kostenlos ein mitgebrachtes Gefäß mit Trinkwasser auf.,Heidelberg,Boxbergring 16,69126,stm-hd-box@i.de,Mo 13:30-17:00 Di;Fr 10:00-13:30 Do 15:00-19:00,CC0-1.0,622101371600
MRN_Refill_4326_Point.109,POINT (8.694499967943178 49.408700000219376),eb60a3c5e7a444e7aa05ae968839940f,Bloom's Friseur,Öffnungszeiten: Mo-Mi 9:00-20:00  Do-Fr 9:00-21:00 Sa 9:00-19:00,Heidelberg,Plöck 2/2,69117,,,CC0-1.0,
MRN_Refill_4326_Point.110,POINT (8.475700024736906 49.484199993072174),b261dbc6a1bb449d868e3dba6cdc1c07,Öffentlicher Trinkbrunnen / Wasserturm,Jugenstil-Trinkbrunnen am Wassertur,Mannheim,Friedrichsplatz,68165,,,CC0-1.0,
MRN_Refill_4326_Point.111,POINT (8.352629210964139 49.534276583946436),f2948e272e1040d8be8493d06e29f56e,Weltladen Frankenthal,Öffnungszeiten: Mo-Fr 10:00-18:00 Sa 10.00-14.00,Frankenthal,Sterngasse 14,67227,,,CC0-1.0,
MRN_Refill_4326_Point.112,POINT (8.361700525675761 49.63167061080768),74cee87eacd345308f196cac46a909e1,Weltladen Worms,Öffnungszeiten Mo-Fr 10:00-18:00 Sa 10:00-16:00,Worms,Obermarkt 4,67547,,,CC0-1.0,
MRN_Refill_4326_Point.113,POINT (8.33110004120092 49.61300000530342),85d7b469960649f1807cfa0ba24912ea,Jugendtreff Eisbachtal ,Jugendtreff im Eisbachtal mit Tischkicker. Billiard. Musik und Projekte ,Worms Horchheim,Höhlchenstraße 43,67551,,Di;Do;Fr 17:00-20:00,CC0-1.0,15154205538
MRN_Refill_4326_Point.114,POINT (8.266700035085297 49.35800000529643),b4acf332f6ab4cc8a21212eb9f98b17a,Dorf Apotheke,Refill-Apotheke,Haßloch,Schmähgasse 72,67454,,Mo-Fr 8:15-12:15 Mo-Di 14:30-18:30 Do-Fr 14:30-18:30 Sa 9:15-12:15 ,CC0-1.0,
MRN_Refill_4326_Point.115,POINT (8.265999978532083 49.482099991050596),3dea69d6da244d1c92e998e8db069111,Haardt-Apotheke,Refill-Apotheke,Birkenheide,Waldstr. 30,67134,,Mo-Sa 8:00-12:30 Mo;Di;Do;Fr 14:30-18:30,CC0-1.0,
MRN_Refill_4326_Point.116,POINT (8.688600030117016 49.34879998646155),8b1571ffbc7b4736be0b19061a910ae8,Central Apotheke,Wir füllen gerne Ihre mitgebrachten Flaschen zu unseren Öffnungszeiten auf!,Leimen,St. Ilgener Str. 1,69181,info@central-apotheke-leimen.de,Mo-Sa 8:30-13:00 Mo-Fr 15:00-18:30,CC0-1.0,622472585
MRN_Refill_4326_Point.117,POINT (8.608299972772738 49.47129999262807),a746b2da388841efadd37de1c3242f39,Stadtbibliothek Ladenburg,Barrierefreier Zugang aus Richtung Dalberg-Schule/Museum.,Ladenburg,Hauptstraße 8,68526,stadtbibliothek@ladenburg.de,Di;Do 8:00-15:00 Mi;Fr 12:00-18:00 Sa 10:00-13:00,CC0-1.0,06203-70211
MRN_Refill_4326_Point.118,POINT (8.385999998257496 49.39189998404677),10ae9fffcf734dbebc2b71ba8e75b3ad,Wasserversorgung Pfälzische Mittelrheingruppe,Wasserbar im Foyer des Verwaltungsgebäudes. Wassersprudler oder Trinkwasserhahn steht zur Verfügung. ,Schifferstadt,Am Wasserturm 2,67105,wolfgang.engler@wasserweb.de,Mo-Do 8:15-11:45;13:15-15:45 Fr 8:15-12.00,CC0-1.0,496235957032
MRN_Refill_4326_Point.119,POINT (8.37359997833781 49.38649998483551),b9a1d05569014d109bb607eb702398a1,Apotheke am Schillerplatz,Wir sorgen für Ihre Gesundheit und halten Sie hydriert!,Schifferstadt,Schillerplatz 4,67105,kontakt@apo-schillerplatz.de,Mo-Sa 8:30-12:30 Mo;Di;So;Fr 14:30-18:30,CC0-1.0,06235 3030
MRN_Refill_4326_Point.120,POINT (8.36038766818139 49.63173100242006),50768d6c5b4c406d80c88523cfb81300,Lotte & Klara,Öffnungszeiten:  Mo;Di;Do;Fr 9:00-18:00 Sa 9:00-14:00 Sa 10:00-15:00,Worms,Rotkreuzgasse 4,67547,info@lotteundklara.de,,CC0-1.0,
MRN_Refill_4326_Point.121,POINT (8.351256590500128 49.640050250869265),a9090dd69a114e13b7121b10b31bdf58,SPD - Regionalgeschäftsstelle,Öffnungszeiten Mo-Do 8:00-16:00 Fr 8:00-13:00,Worms,Bebelstraße 55a,67549,,,CC0-1.0,
MRN_Refill_4326_Point.122,POINT (8.389400033461582 49.39579999977527),ced4fc7b4b9b4855a4e16adc22e7774f,Taxi Ottenberg,Funk-Taxi Ottenberg ist der älteste Taxen- und Busbetrieb in Eckernförde.,Eckernförde,Rosseer Weg 7-9,24340,,,CC0-1.0,
MRN_Refill_4326_Point.123,POINT (8.371699968526 49.218599986852425),e10ca451e43147fa8378f332a0528641,Blumen Kronenberg,Blumenladen,Germersheim,Oberamtsstraße 4,,,,CC0-1.0,
MRN_Refill_4326_Point.124,POINT (8.44400000220351 49.47750000258791),d00a479620754c1a9adba637c6c03412,Verbraucherzentrale Rheinland-Pfalz e.V. Beratungsstelle Ludwigshafen,Die Verbraucherzentrale ist eine Organisation die Verbraucher bei Fragen und Anliegen unterstützt. Sie setzt sich aktiv für Verbraucherinteressen ein und engagiert sich für faire Geschäftspraktiken und den Schutz der Verbraucherrechte.,Ludwigshafen,Wredestraße 33,67059,info@vz-rlp.de,Mo;Mi 10:00-15:00 Do 10:00-13:00;14:00-18:00,CC0-1.0,0621 512 145
MRN_Refill_4326_Point.125,POINT (8.37260001728898 49.22000001613982),3bbcaf817d1f43aeb3e86c043dd0c7c2,optiMaXX,Brillengeschäft,Germersheim,Marktstraße 17,76726,,,CC0-1.0,
MRN_Refill_4326_Point.126,POINT (8.372400025079212 49.22000001613982),04f2b4db1ca748e4a87bb6540086d84c,Boehm Dessous und Mode zum Wohlfühlen,Dessousgeschäft,Germersheim,Marktstraße 15,76726,,,CC0-1.0,
MRN_Refill_4326_Point.127,POINT (8.571000000727828 49.388299998542436),682f122f418e4056bcc45beee5710aee,Klein Wohlig Café ,Wir sind ein Frühstückscafé mit selbstgemachten Kuchen. Besonders Frühstück und Mittagessen bereiten wir für euch zu. Vegan und glutenfrei. ,Schwetzingen ,Mannheimerstr 43-45,68723,kleinwohlig@gmail.com,Mo-Fr 7:00-14:00 Sa;So 9:00-14:00,CC0-1.0,+49 172 3675826
MRN_Refill_4326_Point.128,POINT (8.29450004189019 49.48129998030201),3fcdff8cdc5247009ad91dce5312ecf1,Kreativ Treff,Der etwas andere Blumenladen Floristik mitten aus der Natur Workshops für Hand und Herz Handgemachte Unikate für Dich und Deine Lieben,Maxdorf,Maxstraße 42,67133,kreativ-treff2019@gmx.de,Di-Fr 13:30-18:00 Sa 9:00-13:00,CC0-1.0,
MRN_Refill_4326_Point.129,POINT (8.574400035931916 49.38549998187716),7313c241156640df860d162575df78dd,Salamander Schwetzingen ,Refill Leitungswasser,Schwetzingen ,Mannheimerstrasse 10,68723,DorotheaAmann@gmx.de,Mo-Fr 9:30-18:30 Sa 9:30-16:00,CC0-1.0,1733214923
MRN_Refill_4326_Point.130,POINT (8.694699960152944 49.40940001486307),4b47bbe2bd1d4f97a791d10f08057392,refill Staion,Im Stadtteilbüro Boxberg können Sie mitgebrachte Gefäße kostenlos mit Trinkwasser auffüllen.,Heidelberg,Boxbergring 16,6911769126,,,CC0-1.0,
MRN_Refill_4326_Point.131,POINT (8.448599990666192 49.327800008155315),8fc8b0d3f8a54095b76b7c91e0d7202e,M. Wittmer Antiquitäten,Kunst und Antiquitäten im Industriehof und gerne ab sofort auch Refill-Station,Speyer,Franz-Kirrmeier-Straße 19,67346,,,CC0-1.0,
MRN_Refill_4326_Point.132,POINT (8.256999993816484 49.363000020088165),ba6b2111a7c84391a9779d2126e74486,Apotheke am Rathaus,Refill-Apotheke,Haßloch,Rathausplatz 4,67454,,Mo-Fr 08:00-13:00;14:00-18:30 Sa 08:00-12:30,CC0-1.0,
MRN_Refill_4326_Point.133,POINT (8.696199985545222 49.29589999341215),c27311e6a82a425489cc47c98663d63b,Stadtbibliothek Wiesloch,Öffentliche Bibliothek,Wiesloch,Gerbersruhstr. 41,69168,stadtbibliothek@wiesloch.de,Di 10:00-13:00 Di-Do 14:00-18:00 Fr 10:00-16:00 Sa 10:00-14:00,CC0-1.0,06222 929315
MRN_Refill_4326_Point.134,POINT (8.37139998021135 49.217100003369666),bf5faadac16a44578740e30e9d2c2322,Brillen Hammer,brillenhammer steht für High-End-Technologie. Präzisonsarbeit aus Meisterhand und intensiver Beratung und Betreuung. Für Sie ist uns das Beste gerade gut genug.,Germersheim,Ludwigstr. 12,76726,germersheim@brillenhammer.com,,CC0-1.0,07274-2415
MRN_Refill_4326_Point.135,POINT (8.698499979776564 49.2956000050975),2561c892bb174977b82d3e1fce9e986a,HESSEL APOTHEKE,Apotheke barrierefrei. Eigener Brunnen zum eigenen Befüllen,Wiesloch,Hesselgasse 46,69168,info@hessel-apotheke.de,Mo-Fr 8:00-19:00 Sa 9:00-14:00,CC0-1.0,
MRN_Refill_4326_Point.136,POINT (8.653499972379533 49.590300009395136),3f82fe31ca8743aca6fbce86d36f7aa6,Bücherei Hemsbach,Bücherei für Alle,Hemsbach,Bachgasse 60,69502,buecherei.hb@bachgemeinden.de,Di 9:00-11:30 Mi 15:00-18:00 Do 9:00-11:00;14:00-18:00,CC0-1.0,06201/2598750
MRN_Refill_4326_Point.137,POINT (8.155600003970601 49.51410000189864),1347a9ebf6a2491cbd5b94c696a0848d,Reiseberatung Stefanie Carcereri-Dhom,Reisebüro mit Terminvereinbarung. Man bekommt hier seine Flasche befüllt.,Weisenheim am Berg,Hauptstraße 19,67273,stefanie.carcereri@takeoff-reisen.de,nach Vereinbarung,CC0-1.0,06353-9893820
MRN_Refill_4326_Point.138,POINT (8.437699996138782 49.3169000136279),ab27d81bbc48432ebad086f03022b3ea,Cupcake-Fee ,Das kleine gemütliche Café für eine süße Auszeit. ,Speyer,Grasgasse 4,67346,Cupcake@cupcake-fee.de,Mi-Sa 12:00-17:00,CC0-1.0,4915785303987
MRN_Refill_4326_Point.139,POINT (8.70319996434413 49.37479997955952),674d4e392f02407a8dfc6c481101d73e,Refill-Station in der Boxberg Apothekte,Wir machen mit und füllen gerne sowie kostenlos ein mitgebrachtes Gefäß mit Trinkwasser auf.,Heidelberg,Boxbergring 16,69126,service@boxberg-apotheke.de,Mo-Fr 08:30-13:00;15:00-18:30 Sa 08:30-13:00,CC0-1.0,6221383890
MRN_Refill_4326_Point.140,POINT (8.704699989736406 49.37710001570038),acd4f867c876471b98e3805c225023fc,Refill-Station im Holzwurm (Kinder- und Jugenzentrum),Im Holzwurm ist immer was los und für Kinder und Jugendliche jede Menge geboten. Gerne füllen wir ein mitgebrachtes Gefäß mit Trinkwasser auf. ,Heidelberg,Am Waldrand 21,69126,holzwurm-heidelberg@t-online.de,Mo 17:00-18:30 Di;Do 14:00-19:30 Mi;Fr 13:00-19:30,CC0-1.0,6221384427
MRN_Refill_4326_Point.141,POINT (8.433629660137756 49.31833688137976),5d7dff3aebe9458280853190c5190547,Kaufladen - Speyer unverpackt,Unverpackt einkaufen,Speyer,Große Greifengasse 1,67346,kaufladen-speyer@posteo.de,Mo-Fr 10:00-18:00  Sa 10:00-15:00,CC0-1.0,
MRN_Refill_4326_Point.142,POINT (8.64530004032203 49.3040000131838),d52481f6be0141de8d0d6adbbcd50499,KVM Kadel Versicherungsmakler,Grander-Wasser schmeckt wie frisches Quellwasser und macht Wassertrinken für euch zum erfrischenden Trinkvergnügen.,Walldorf,Hebelstr. 2,69190,info@kadel-vm.de,Mo-Fr 09:00-12:00 Di;Do 15:00-17:00,CC0-1.0,1718934455
MRN_Refill_4326_Point.143,POINT (8.475500032527139 49.48390000475752),1534fbe0911c454b93c91113879e2bdd,Öffentlicher Trinkbrunnen / Wasserturm,Jugenstil-Trinkbrunnen am Wasserturm Betreibssaison: Mai-Oktober,Mannheim,Friedrichsplatz,68165,,Mai-Oktober,CC0-1.0,
MRN_Refill_4326_Point.144,POINT (8.467600004965254 49.48949999617855),ea32cd9990ee42949655d1a26e3c39c2,Öffentlicher Trinkbrunnen / Marktplatz,Granitsäule in der Nähe der Straßenbahnhaltestelle. Betriebssaison: Mai-Oktober,Mannheim,,68159,,Mai-Oktober,CC0-1.0,
MRN_Refill_4326_Point.145,POINT (8.465799991258327 49.48739999415697),4dd16cc6ea974e319908c71fec457b50,Öffentlicher Trinkbrunnen / Paradeplatz ,Granitsäule in  der Nähe der Haltestelle Kurpfalzstraße. Betriebssaison: Mai-Oktober,Mannheim,Paradeplatz,,,Mai-Oktober,CC0-1.0,
MRN_Refill_4326_Point.146,POINT (8.51349997730623 49.50019999849619),e9656b5d29f44652bf8802abfa4b4476,"Öffentlicher Trinkbrunnen / BUGA Spielplatz ""Aufzug""",Edelstahlsäule,Mannheim,Radschnellweg Mannheim - Weinheim,68259,,Mai-Oktober,CC0-1.0,
MRN_Refill_4326_Point.147,POINT (8.515499983222922 49.502200004412884),55a8232891394fb498c7378a6d7df061,"Öffentlicher Trinkbrunnen / BUGA Spielplatz ""Vernetzung""",Edelstahlsäule,Mannheim,Kurpfälzer Meile der Innovationen (Dominic-Spinelli-Weg),68259,,Mai-Oktober,CC0-1.0,
MRN_Refill_4326_Point.148,POINT (8.620300008272892 49.70240000155866),79d353fd562b49a3b41d4c08319bdc17,Hörgeräte Henning,Bei uns kann man zu unseren Öffnungszeiten gerne Leitungswasser auffüllen :),Auerbach,Neuer Weg 2,64625,,Mo-Fr 09:00-12:30;14:30-18:30,CC0-1.0,
MRN_Refill_4326_Point.149,POINT (8.620880455067791 49.67950571313477),3420876881214fdcb38db7e26602b982,KV Bergstraße von Bündnis 90/ Die Grünen,                   ,Bensheim,Gerbergasse 9,64625,,Mo-Do 9:00-13:00 Fr 10:00-12:00,CC0-1.0,
MRN_Refill_4326_Point.150,POINT (8.545048538849246 49.67252970657895),866bdf7239434d99a072d597f0811b94,Gemeindeverwaltung Einhausen,                             ,Einhausen,Marktplatz 5,64683,,Mo;Di 08:00-16:00 Do 07:00-19:00 Fr 08:00-12:00 Sa* 08:00-12:00 1.2.Sa,CC0-1.0,
MRN_Refill_4326_Point.151,POINT (8.620699908873393 49.68219710033489),657607b9927449fa8461319a7f6bb1c9,Der Amerikanische Freund - Craft Beer Pub,                     ,Bensheim,Dalbergergasse 15,64625,,Mi;Do 18:00-22:00 Fr-Sa 18:00-24:00,CC0-1.0,
MRN_Refill_4326_Point.152,POINT (8.581400014730823 49.538400019304085),df9f76c59fc248bbbe8f0585f17fa867,Brundtlandbüro der Stadt Viernheim,Hier befindet sich eine Refill-Station. Eine mitgebrachte Flasche kann hier kostenfrei mit Leitungswasser aufgefüllt werden.,Viernheim,Wasserstraße 20,68519,rschaerling@viernheim.de,Mo-Fr 8:30-12 Mi 14:00-17:30,CC0-1.0,6204988392
MRN_Refill_4326_Point.153,POINT (8.577300006792555 49.53770000466039),bbe99e09931a417c861ce8fdc1a0c1cf,Seniorenbegegnungstätte SBS 55+,Seniorenbegegnungstätte SBS 55+ ,Viernheim,Am Schillerpl. 1a,68519,,,CC0-1.0,
MRN_Refill_4326_Point.154,POINT (8.699474711296835 49.56167840844098),5594a81d9aee430091dfc5257c341bb6,Die Brille,                 ,Birkenau,Hauptstraße 25,69488,,Mo-Fr 9:00-13:00;14:00-18:00 Sa 9:00-13:00,CC0-1.0,
MRN_Refill_4326_Point.155,POINT (8.642999962271658 49.64249998780084),e6eba7f7c31f4adbb170b9c9fb6fddbc,Weltladen Heppenheim,Hier befindet sich eine Refill-Station. Eine mitgebrachte Flasche kann hier kostenfrei mit Leitungswasser aufgefüllt werden.,Heppenheim,Marktstr. 17,64646,weltladen-heppenheim@web.de,Mo;Di;Do;Fr 10:00-18:00 Mi;Sa 10:00-14:00,CC0-1.0,06252 305926
MRN_Refill_4326_Point.156,POINT (8.569299983125786 49.53670000170204),121e2ae0d82d4313902824f7c8e551cf,Volkshochschule Viernheim,Hier befindet sich eine Refill-Station. Eine mitgebrachte Flasche kann hier kostenfrei mit Leitungswasser aufgefüllt werden.,Viernheim,Kreuzstraße 2-4,68519,vhs@viernheim.de,Mo-Fr 09:00-12:00 Mo;Di 14:00-16:00 Mi 14:00-18:00 Do 14:00-15:00,CC0-1.0,06204 988 400
MRN_Refill_4326_Point.157,POINT (8.611022247286058 49.703050730611686),541c351ff40146138ea88abd19c1d688,physio³ ,Therapie und Trainingszentrum,Bensheim,161c Berliner Ring,64625,tom.fuchs@physio-3.de,Mo-Fr 7:30-22:00 Sa;So 9:00-16:00,CC0-1.0,496251854304
MRN_Refill_4326_Point.158,POINT (8.610930213989192 49.700251552136734),2c1bad6d50044a21b61b1b8c6f2750ce,Tupperware Bezirkshandlung Bergstraße, -                                 ,Bensheim,Berliner Ring 143,64625,,Mo 9:00-20:00 Di;Mi 9:00-14:00,CC0-1.0,
MRN_Refill_4326_Point.159,POINT (8.759387297909422 49.62346761935552),3c6eaec373e64d75ab44768035931c15,Gaststätte Krumm Stubb, -                                            ,Rimbach,Rathausstr. 7,64668,,Mi-Sa 17:30-24:00 So;FT 17:00-24:00,CC0-1.0,
MRN_Refill_4326_Point.160,POINT (8.581100026416173 49.5381999851848),2388975333d745c19e9e0894b3c45154,Stadtbücherei Viernheim,Hier befindet sich eine Refill-Station. Eine mitgebrachte Flasche kann hier kostenfrei mit Leitungswasser aufgefüllt werden.,Viernheim,Satonévri-Platz,68519,stadtbibliothek@viernheim.de,Di 10:00-17:00 Mi 14:00-17:00 Do 10:00-13:00;15:00-19:00 Fr 14:00-17:00 Sa 10:00-12:00,CC0-1.0,06204/988450   
MRN_Refill_4326_Point.161,POINT (8.580599962072727 49.53459999968047),d0a4e9154cd74ed0958f21dc96c0a64e,Museum und Archiv Viernheim,Museum und Archiv Viernheim,Viernheim,Berliner Ring 28,68519,,So 14:00-17:00 Do 16:00-18:00* Oktober-Ostern,CC0-1.0,
MRN_Refill_4326_Point.162,POINT (8.640699968040316 49.301900011162225),646fcfd42d1d49288bd5ec184b540646,Stadtbücherei Walldorf,Mehr als 43.000 Medien. Bücher. CDs. Zeitschriften. DVDs. Ausleihe von über 60.000 digitalen Medien. WLAN in der Stadtbücherei. Internetnutzung an sechs Arbeitsplätzen. Veranstaltungen und Aktionen für Klein und Groß.,Walldorf,Hirschstraße 15,69190,Barbara.Grabl@walldorf.de,Di;Do 10:00−19:00 Mi 12:30−19:00 Fr 14:30−19:00 Sa 10:00−13:00,CC0-1.0,+49 6227 35-2601
MRN_Refill_4326_Point.163,POINT (8.640699968040316 49.31290000179452),0d38733c37914925a3bf3dd20b391d12,AQWA Bäderpark  Eingang Sauna,Im AQWA Bäderpark kann man es sich gut gehen lassen! Egal ob im Hallenbad oder im Freien auf dem Gelände mit Kinderbereich. Badesee und Minigolf  ob im Saunabereich oder in der Salzlounge - für die ganze Familie gibt es das passende Angebot.,Walldorf, Schwetzinger Str. 88. Eingang Sauna,69190,,Mo-So 10:00-22:00,CC0-1.0,
